cve_period,cve_instit,tipo_instit,cve_situac,saldo,monto_linea,num_creds
201601,040002,OTROS,1,22215671382.00,49001946070.00,32
201601,040002,S.A. DE C.V.,1,4281557390.00,12689562293.00,23
201601,040002,SOFOM ENR,1,6788838289.00,25785820734.00,78
201601,040002,SOFOM ENR,2,2620368.00,2578000.00,1
201601,040002,SOFOM ER (Banco),1,67425592564.00,1050000000000.00,18
201601,040002,SOFOM ER (Deuda),1,12983812638.00,41233635960.00,18
201601,040002,SOFOM ER (GF),1,187585757.00,107230174135.00,78
201601,040002,UNIÓN DE CRÉDITO,1,742684081.00,52204222254.00,249
201601,040012,ALMACENADORA,1,92134964.00,209299850.00,6
201601,040012,OTROS,1,7454297895.00,12376023428.00,113
201601,040012,S.A. DE C.V.,1,10220737874.00,13279294358.00,227
201601,040012,S.A. DE C.V.,2,38660.00,21108.00,1
201601,040012,SOCAP,1,0.00,6000000.00,1
201601,040012,SOFOM ENR,1,3011306534.00,4891095194.00,862
201601,040012,SOFOM ENR,2,515125791.00,463359272.00,11
201601,040012,SOFOM ER (Banco),1,311190319.00,550000000.00,12
201601,040012,SOFOM ER (Banco),2,7500.00,7500.00,1
201601,040012,SOFOM ER (Deuda),1,5740420098.00,6982643460.00,64
201601,040012,SOFOM ER (GF),1,1383366714.00,2607456769.00,9
201601,040012,UNIÓN DE CRÉDITO,1,395749304.00,549553669.00,72
201601,040014,ALMACENADORA,1,34090128.00,79118028.00,21
201601,040014,OTROS,1,6998411048.00,9308493535.00,51
201601,040014,OTROS,2,77253949.00,86092681.00,5
201601,040014,S.A. DE C.V.,1,6771057831.00,10787401098.00,52
201601,040014,S.A. DE C.V.,2,1753071228.00,878912045.00,3
201601,040014,SOFOM ENR,1,23076736138.00,28793216651.00,91
201601,040014,SOFOM ENR,2,457897224.00,440700594.00,10
201601,040014,SOFOM ER (Banco),1,42320529204.00,84426576499.00,14
201601,040014,SOFOM ER (Deuda),1,172139593.00,210000000.00,4
201601,040014,UNIÓN DE CRÉDITO,1,77102933.00,238490680.00,14
201601,040021,ALMACENADORA,1,2347603.00,2499999.00,1
201601,040021,OTROS,1,188095562.00,15026166990.00,6
201601,040021,S.A. DE C.V.,1,3841639930.00,6330201194.00,42
201601,040021,SOFOM ENR,1,4376826842.00,4866896887.00,16
201601,040021,SOFOM ENR,2,642817313.00,664443288.00,9
201601,040021,SOFOM ER (Deuda),1,4237597144.00,6367760629.00,123
201601,040021,UNIÓN DE CRÉDITO,1,1352474435.00,1973145201.00,214
201601,040030,ALMACENADORA,1,5407491.00,31382000.00,2
201601,040030,OTROS,1,293277751.00,2005296934.00,79
201601,040030,S.A. DE C.V.,1,1003942880.00,10587103101.00,261
201601,040030,S.A. DE C.V.,2,9320024.00,200000000.00,4
201601,040030,SOCAP,1,43827308.00,860897940.00,49
201601,040030,SOFIPO,1,10977912.00,359000000.00,24
201601,040030,SOFOM ENR,1,1769384100.00,26349614416.00,1035
201601,040030,SOFOM ENR,2,1333953.00,1670000.00,1
201601,040030,SOFOM ER (Banco),1,1883357271.00,348343488196.00,271
201601,040030,SOFOM ER (Deuda),1,1436574581.00,5745448277.00,47
201601,040030,SOFOM ER (GF),1,601668230.00,1400000000.00,2
201601,040030,UNIÓN DE CRÉDITO,1,1150714866.00,4764794579.00,61
201601,040036,OTROS,1,837590018.00,7627822000.00,7
201601,040036,S.A. DE C.V.,1,1073883640.00,3434301031.00,45
201601,040036,SOFOM ENR,1,707630896.00,1034444983.00,25
201601,040036,SOFOM ENR,2,1202209827.00,1171549104.00,3
201601,040036,SOFOM ER (Banco),1,10133034190.00,33978135996.00,18
201601,040036,SOFOM ER (Deuda),1,2640585436.00,35631118788.00,22
