#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-01-24T00:21:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e2a37fe0bc3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=V/50/catalog
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&&-ref=VIZ5e2a37fe0bc3&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=Name&-out=HD&-out=ADS&-out=VarID&-out=RAJ2000&-out=DEJ2000&-out=GLON&-out=GLAT&-out=Vmag&-out=B-V&-out=SpType&-out=RadVel&-out=RotVel&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/50/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-out=HR
#-out=Name
#-out=HD
#-out=ADS
#-out=VarID
#-out=RAJ2000
#-out=DEJ2000
#-out=GLON
#-out=GLAT
#-out=Vmag
#-out=B-V
#-out=SpType
#-out=RadVel
#-out=RotVel
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	?Galactic longitude (1)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	?Galactic latitude (1)	[ucd=pos.galactic.lat]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
#Column	RadVel	(I4)	? Heliocentric Radial Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	RotVel	(I3)	? Rotational velocity, v sin i	[ucd=phys.veloc.rotat]
_RAJ2000;_DEJ2000;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;GLON;GLAT;Vmag;B-V;SpType;RadVel;RotVel
deg;deg; ; ; ; ; ;"h:m:s";"d:m:s";deg;deg;mag;mag; ;km/s;km/s
----------;----------;----;----------;------;-----;---------;----------;---------;------;------;-----;-----;--------------------;----;---
001.291250;+45.229167;   1;          ;     3;   46;         ;00 05 09.9;+45 13 45;114.44;-16.88; 6.70; 0.07;  A1Vn              ; -18;195
001.265833; -0.503056;   2;          ;     6;     ;         ;00 05 03.8;-00 30 11; 98.33;-61.14; 6.29; 1.10; gG9                ;  14;
001.333750; -5.707500;   3; 33    Psc;    28;     ;Var?     ;00 05 20.1;-05 42 27; 93.75;-65.93; 4.61; 1.04;  K0IIIbCN-0.5      ;  -6; 17
001.425000;+13.396111;   4; 86    Peg;    87;     ;         ;00 05 42.0;+13 23 46;106.19;-47.98; 5.51; 0.90;  G5III             ;  -2;
001.566667;+58.436667;   5;          ;   123;   61;V640 Cas ;00 06 16.0;+58 26 12;117.03; -3.92; 5.96; 0.67;  G5V               ; -12;
001.579167;-49.075000;   6;          ;   142;     ;         ;00 06 19.0;-49 04 30;321.61;-66.38; 5.70; 0.52;  G1IV              ;   3;
001.610417;+64.196111;   7; 10    Cas;   144;     ;         ;00 06 26.5;+64 11 46;118.06;  1.75; 5.59;-0.03;  B9III             ;   0;153
001.653333;+29.021389;   8;          ;   166;   69;   33    ;00 06 36.8;+29 01 17;111.26;-32.83; 6.13; 0.75;  K0V               ;  -8;
001.708750;-23.107500;   9;          ;   203;     ;         ;00 06 50.1;-23 06 27; 52.21;-79.14; 6.18; 0.38;  A7V               ;   3;
001.825833;-17.386389;  10;          ;   256;     ;         ;00 07 18.2;-17 23 11; 74.36;-75.90; 6.19; 0.14;  A6Vn              ;  -9;195
001.933750; -2.548889;  11;          ;   315;     ;Var?     ;00 07 44.1;-02 32 56; 98.02;-63.29; 6.43;-0.14;  B8IIIpSi          ;  13;
001.945000;-22.508889;  12;          ;   319;   89;   46    ;00 07 46.8;-22 30 32; 55.56;-79.07; 5.94; 0.14;  A2Vp:             ; -13;
002.014583;-33.529444;  13;          ;   344;     ;         ;00 08 03.5;-33 31 46;355.91;-78.67; 5.68; 1.12;  K1III             ;   7;
002.050417; -2.447778;  14;          ;   352;     ;AP Psc   ;00 08 12.1;-02 26 52; 98.34;-63.24; 6.07; 1.38;  K2III+F           ;   1; 22
002.097083;+29.090556;  15; 21Alp And;   358;   94;Alp And  ;00 08 23.3;+29 05 26;111.73;-32.84; 2.06;-0.11;  B8IVpMnHg         ; -12; 56
002.072500; -8.823889;  16;          ;   360;     ;         ;00 08 17.4;-08 49 26; 91.79;-69.04; 5.99; 1.04; gG8                ;  20;
002.170833;+36.626667;  17;          ;   400;     ;         ;00 08 41.0;+36 37 36;113.45;-25.45; 6.19; 0.48;  F8IV              ; -14;  6
002.139167;-17.577500;  18;          ;   402;     ;   51    ;00 08 33.4;-17 34 39; 74.69;-76.25; 6.06; 1.67;  M0III             ; -17;
002.217500;+25.462778;  19;          ;   417;     ;         ;00 08 52.2;+25 27 46;110.97;-36.42; 6.23; 0.97;  K0III             ;  15;
002.334167;+79.714722;  20;          ;   431;  102;         ;00 09 20.2;+79 42 53;120.98; 17.00; 6.01; 0.19;  A7IV              ;   1; 90
002.294583;+59.149722;  21; 11Bet Cas;   432;  107;Bet Cas  ;00 09 10.7;+59 08 59;117.52; -3.27; 2.27; 0.34;  F2III-IV          ;  12; 70
002.260000;+18.211944;  22; 87    Peg;   448;     ;         ;00 09 02.4;+18 12 43;108.99;-43.51; 5.53; 1.04;  G9III             ; -23;
