96/10/30 23:30:39  24.56S 176.31W  33.0 5.5Mb C  SOUTH OF FIJI ISLANDS
96/10/31 18:18:43   9.81N 126.52E  33.0 5.8Mb C  MINDANAO, PHILIPPINE ISLANDS
96/11/01 03:09:28  37.35N 104.23W   5.0 3.2Lg A  COLORADO
96/11/01 03:32:34   1.22S 149.41E  33.0 5.7Ms A  NEW IRELAND REGION, P.N.G.
96/11/01 07:00:16   1.32S 149.37E  33.0 5.5Ms C  NEW IRELAND REGION, P.N.G.
96/11/01 14:38:06   0.01S  17.90W  10.0 5.0Mb B  NORTH OF ASCENSION ISLAND
96/11/01 19:38:18  36.79N 121.49W   5.0 2.8Ml A  CENTRAL CALIFORNIA
96/11/01 20:31:10   9.81N 126.55E  33.0 5.0Mb    MINDANAO, PHILIPPINE ISLANDS
96/11/02 00:08:47   7.39S 117.17E 267.6 5.5Mb B  BALI SEA
96/11/02 03:04:48  33.23N 115.73W   5.0 2.9Ml A  SOUTHERN CALIFORNIA
96/11/02 13:50:33  19.07N  39.18E  10.0 5.1Mb B  RED SEA
96/11/02 16:58:10   1.00S 149.00E  33.0 4.8Mb    NEW IRELAND REGION, P.N.G.
96/11/03 05:32:13  40.34N 125.18W  15.0 3.1Ml A  OFF COAST OF N CALIFORNIA
96/11/03 05:40:18   9.90N 126.49E  33.0 5.1Mb C  MINDANAO, PHILIPPINE ISLANDS
96/11/03 06:16:07  60.30N 151.12W  42.6 3.5Ml    KENAI PENINSULA, ALASKA
96/11/03 06:32:04  34.60N 116.26W   5.0 3.3Ml A  SOUTHERN CALIFORNIA
96/11/03 07:41:36   9.86N 126.43E  33.0 5.5Ms C  MINDANAO, PHILIPPINE ISLANDS
96/11/03 21:22:40  59.98N 153.58W 152.8 4.3Mb A  SOUTHERN ALASKA
96/11/04 00:12:28  44.33N 128.14W  10.0 4.3Mb C  OFF COAST OF OREGON
96/11/04 12:53:37   9.70N 126.79E  33.0 5.5Ms C  MINDANAO, PHILIPPINE ISLANDS
96/11/04 13:21:15   9.73N 126.33E  33.0 5.7Ms B  MINDANAO, PHILIPPINE ISLANDS
96/11/04 17:24:59   7.21N  77.55W  33.0 6.1Mb A  PANAMA-COLOMBIA BORDER REGION
96/11/04 22:54:15  43.56N 127.33W  10.0 4.9Ms A  OFF COAST OF OREGON
96/11/05 09:41:34  31.13S 179.96E 369.0 6.0Mb A  KERMADEC ISLANDS REGION
96/11/05 12:29:46   9.70N 126.72E  33.0 5.6Mb B  MINDANAO, PHILIPPINE ISLANDS
96/11/06 02:00:53  18.74N  64.25W  33.0 5.0Mb A  VIRGIN ISLANDS
96/11/06 06:01:44  51.35N 176.68W  33.0 4.6Mb C  ANDREANOF ISL, ALEUTIAN IS.
96/11/06 20:01:03  28.07N 143.74E  33.0 6.6Ms A  BONIN ISLANDS REGION
96/11/07 08:50:03  43.75N 111.07W   5.0 3.6Ml A  EASTERN IDAHO
96/11/08 07:19:07  17.98N  68.49W  71.6 4.8Mb A  MONA PASSAGE
96/11/08 14:00:50  22.15S 179.39W 553.5 5.2Mb A  SOUTH OF FIJI ISLANDS
96/11/08 14:56:33  51.37N 179.27E  33.0 4.5Mb C  RAT ISLANDS, ALEUTIAN ISLANDS
96/11/08 17:51:06  60.06N 152.77W 113.4 4.3Mb B  SOUTHERN ALASKA
96/11/09 07:53:23  34.38S 179.29E  84.2 5.4Mb B  SOUTH OF KERMADEC ISLANDS
96/11/09 09:05:07   0.60S  80.77W  33.0 4.7Mb B  NEAR COAST OF ECUADOR
96/11/09 13:56:10  31.91N 123.26E  33.0 5.4Ms B  OFF COAST OF EASTERN CHINA
96/11/10 09:04:45  53.44N 179.90E  33.0 3.9Mb C  RAT ISLANDS, ALEUTIAN ISLANDS
96/11/10 17:12:51  25.73S  68.97W  33.0 4.5Mb B  CHILE-ARGENTINA BORDER REGION
96/11/10 17:28:11  25.75S  68.92W  33.0 4.4Mb B  CHILE-ARGENTINA BORDER REGION
96/11/11 00:47:21  32.48S 179.17W  33.0 5.9Ms B  SOUTH OF KERMADEC ISLANDS
96/11/11 06:38:42  24.94S  64.31W  33.0 5.0Mb A  SALTA PROVINCE, ARGENTINA
96/11/11 06:40:15  15.60N  93.74W  33.0 4.6Mb C  NEAR COAST OF CHIAPAS, MEXICO
96/11/11 09:22:26  19.44N  94.94E  69.0 5.8Mb A  MYANMAR
96/11/11 10:52:15  61.91N 148.91W  20.0 4.7Mb A  SOUTHERN ALASKA
96/11/12 02:03:36  38.00N  90.00W   5.0 2.7Lg    EASTERN MISSOURI
96/11/12 11:34:47  25.31S  64.47W  33.0 4.6Mb B  SALTA PROVINCE, ARGENTINA
96/11/12 16:59:43  14.90S  75.49W  33.0 7.3Ms A  NEAR COAST OF PERU
96/11/12 18:17:31  15.15S  75.00W  33.0 5.1Mb B  NEAR COAST OF PERU
96/11/12 20:07:46  14.96S  75.38W  33.0 5.1Mb C  NEAR COAST OF PERU
96/11/12 21:43:57  15.31S  75.39W  33.0 5.2Mb C  NEAR COAST OF PERU
96/11/12 23:35:14  14.85S  75.36W  33.0 5.5Mb A  NEAR COAST OF PERU
96/11/13 00:28:19  15.01S  75.48W  33.0 5.2Mb A  NEAR COAST OF PERU
96/11/13 02:41:39  14.70S  75.40W  33.0 5.7Ms A  NEAR COAST OF PERU
96/11/13 02:47:33  15.33S  75.59W  33.0 5.1Mb A  NEAR COAST OF PERU
96/11/13 12:32:09  15.38S  75.18W  33.0 5.7Ms B  NEAR COAST OF PERU
96/11/13 12:36:59  33.47N 116.45W   5.0 3.7Ml A  SOUTHERN CALIFORNIA
96/11/13 16:05:59  15.46S  75.45W  33.0 4.3Mb C  NEAR COAST OF PERU
96/11/13 18:36:22  15.05S  75.44W  33.0 4.3Mb B  NEAR COAST OF PERU
96/11/14 13:47:37  21.07S 176.86W 190.0 5.7Mb A  FIJI ISLANDS REGION
96/11/14 20:27:44  31.98N 115.06W   5.0 4.0Ml B  BAJA CALIFORNIA, MEXICO
96/11/15 14:46:14  50.90N 177.37W  33.0 4.5Mb A  ANDREANOF ISL, ALEUTIAN IS.
96/11/15 15:29:52  10.51N 127.40E  33.0 5.7Mb C  PHILIPPINE ISLANDS REGION
96/11/16 09:47:49  15.22S 176.38W  33.0 5.7Ms B  FIJI ISLANDS REGION
96/11/16 12:29:50  20.92S 176.24W 142.3 4.8Mb B  FIJI ISLANDS REGION
96/11/17 01:05:17  15.59N  93.04W  33.0 4.4Mb C  NEAR COAST OF CHIAPAS, MEXICO
96/11/17 14:02:45  59.18N 152.55W  79.0 4.3Mb A  SOUTHERN ALASKA
96/11/17 18:44:14   4.41N  76.02W 120.5 4.8Mb B  COLOMBIA
96/11/17 19:17:41  10.96N  86.08W  33.0 5.7Mb A  OFF COAST OF COSTA RICA
96/11/17 21:11:20  22.03S 179.94W 591.1 5.4Mb A  SOUTH OF FIJI ISLANDS
96/11/18 00:04:51  59.92N 151.07W  41.0 3.8Ml    KENAI PENINSULA, ALASKA
96/11/18 06:56:51  38.77N 122.69W   5.0 3.9Ml A  NORTHERN CALIFORNIA
96/11/18 11:52:15  29.97N  51.45E  33.0 5.5Mb B  SOUTHERN IRAN
96/11/19 10:44:45  35.23N  78.25E  33.0 7.1Ms B  EASTERN KASHMIR
96/11/19 23:48:43  10.97N  86.66W  33.0 4.6Mb B  OFF COAST OF COSTA RICA
96/11/20 02:27:48  34.35N 141.09E  33.0 5.8Mb A  OFF E COAST OF HONSHU, JAPAN
96/11/20 16:39:24  36.24N 120.85W   5.0 2.9Ml A  CENTRAL CALIFORNIA
96/11/20 17:58:05  16.49N 120.66E  33.0 5.6Ms A  LUZON, PHILIPPINE ISLANDS
96/11/20 19:42:55  10.48N 127.14E  33.0 5.5Mb B  PHILIPPINE ISLANDS REGION
96/11/20 20:04:15  53.20N 170.09W  99.9 5.2Mb A  FOX ISLANDS, ALEUTIAN ISLANDS
96/11/21 01:24:37  49.64N 128.23W  10.0 4.4Mb A  VANCOUVER ISLAND REGION
96/11/21 01:25:13  49.69N 128.08W  10.0 4.3Mb B  VANCOUVER ISLAND REGION
96/11/21 02:28:33  11.18N 141.04E  33.0 5.7Mb B  WESTERN CAROLINE ISLANDS
96/11/21 07:43:35   6.82N 126.42E  33.0 5.6Mb C  MINDANAO, PHILIPPINE ISLANDS
96/11/21 12:38:42  15.46S  75.11W  33.0 4.4Mb B  NEAR COAST OF PERU
96/11/21 17:46:34  11.08S  73.80W 107.2 4.7Mb B  CENTRAL PERU
96/11/21 21:45:14   5.40S 150.49E  33.0 5.4Ms    NEW BRITAIN REGION, P.N.G.
96/11/22 09:43:47  28.21S  70.77W  42.8 4.8Mb B  CENTRAL CHILE
