         number        payoffs
           810          190.0
           156          120.5
           140          285.5
           542          184.0
           507          384.5
           972          324.5
           431          114.0
           981          506.5
           865          290.0
           499          869.5
            20          668.5
           123           83.0
           356          188.0
            15          449.0
            11          289.5
           160          212.0
           507          466.0
           779          548.5
           286          260.0
           268          300.5
           698          556.5
           640          371.5
           136          112.5
           854          254.5
            69          368.0
           199          510.0
           413          102.0
           192          206.5
           602          261.5
           987          361.0
           112          167.5
           245          187.0
           174          146.5
           913          205.0
           828          348.5
           539          283.5
           434          447.0
           357          102.5
           178          219.0
           198          292.5
           406          343.0
            79          332.5
            34          532.5
            89          445.5
           257          127.0
           662          557.5
           524          203.5
           809          373.5
           527          142.0
           257          230.5
             8          482.5
           446          512.5
           440          330.0
           781          273.0
           615          171.0
           231          178.0
           580          463.5
           987          476.0
           391          290.0
           267          176.0
           808          195.0
           258          159.5
           479          296.0
           516          177.5
           964          406.0
           742          182.0
           537          164.5
           275          137.0
           112          191.0
           230          298.0
           310          110.0
           335          353.0
           238          192.5
           294          308.5
           854          287.0
           309          203.5
            26          377.5
           960          211.5
           200          342.0
           604          259.0
           841          231.0
           659          348.0
           735          159.0
           105          130.5
           254          176.0
           117          128.5
           751          159.0
           781          290.0
           937          335.0
            20          514.0
           348          191.0
           653          304.5
           410          167.0
           468          257.0
            77          640.0
           921          142.0
           314          146.0
           683          356.0
             0           96.0
           963          295.0
           122          237.0
            18          312.5
           827          215.0
           661          442.5
           918          127.0
           110          127.0
           767          756.0
           761          228.5
           305          132.0
           485          256.0
             8          374.5
           808          262.5
           648          286.5
           508          264.0
           684          380.5
           879          357.5
            67          478.5
           282          511.5
           928          218.0
           733          353.0
           518          162.5
           441          184.0
           661          548.0
           219          166.5
           310          147.5
           771          240.0
           906          386.0
           235          130.5
           396          287.5
           223          230.0
           695          480.5
           499          247.5
            42          380.0
           230          238.5
           623          237.5
           300          214.5
           380          394.5
           646          416.5
           553          392.5
           182          244.5
           158          202.0
           744          371.5
           894          553.0
           689          293.5
           978          295.0
           314          178.0
           337          334.5
           226          226.0
           106          194.0
           299          388.5
           947          353.0
           896          404.0
           863          348.0
           239          163.5
           180          216.5
           764          283.0
           849          388.5
            87          567.5
           975          250.5
            92          478.0
           701          267.5
           402          326.5
             1          369.0
           884          512.5
           750          341.0
           236          188.5
           395          386.0
           999          239.0
           744          480.5
           714          105.0
           253          227.0
           711          130.5
           863          384.5
           496          294.5
           214          154.0
           430          324.0
           107          116.0
           781          229.0
           954          301.5
           941          334.0
           416          143.5
           243          212.0
           480          448.0
           111          126.5
            47          417.5
           691          276.5
           616          303.0
           253          211.0
           477          373.0
            11          209.5
           114          207.5
           133          195.0
           293          317.0
           812          170.5
           197          230.0
           358          143.0
             7          361.0
           996          452.0
           842          260.5
           255          308.5
           374          206.0
           693          256.5
           383          291.0
            99          421.5
           474          295.5
           333          119.5
           467          268.5
           515          221.0
           357          151.5
           694          314.5
           919          313.5
           424          323.5
           274          204.0
           913          241.0
           919          637.0
           245          214.0
           964          348.0
           472          191.5
           935          384.0
           434          220.0
           170          285.5
           300          335.0
           476          251.5
           528          131.5
           403          328.0
           677          392.0
           559          509.0
           187          235.5
           652          249.5
           319          129.5
           582          303.0
           541          201.5
            16          365.0
           981          346.5
           158          210.5
           945          334.0
            72          376.5
           167          215.5
            77          312.0
           185          239.5
           209          221.0
           893          388.0
           346          154.5
           515          268.5
           555          127.0
           858          537.5
           434          427.5
           541          272.0
           411          197.0
           109          167.5
           761          292.0
           767          170.0
           597          486.5
           479          262.0
